order_details_id;order_id;pizza_id;quantity
37987;16769;thai_ckn_m;1
37819;16696;spinach_supr_m;1
31014;13698;the_greek_s;1
9946;4357;hawaiian_m;-1
30572;13497;;
15991;7033;ital-cpcllo-s;1
29914;13212;hawaiian_l;1
12683;5573;s0uthw ckn l;one
14433;6314;pepperoni_m;1
37468;16542;veggie_veg_s;1
4578;2028;four_cheese_l;
28814;12705;soppressata-l;1
33368;14747;prsc-argla-s;1
30268;13372;spinach_fet_l;1
22914;10079;hawaiian_l;1
33168;14659;pepperoni_m;One
25501;11223;peppr-s@l@mi-l;1
36061;15922;;1
44979;19769;southw_ckn_m;1
39409;17352;the_greek_m;1
25664;11291;hawaiian_s;
16968;7470;big_meat_s;1
33079;14621;sicilian_s;One
31720;14007;napolitana-m;
32354;14300;pepperoni_l;one
9479;4150;sicilian_l;1
26312;11586;classic-dlx-m;one
29548;13054;pepperoni m;1
37533;16573;spinach fet s;1
32550;14387;cali_ckn_m;-1
2129;947;the_greek_xl;1
43498;19127;five-cheese-l;2
14471;6331;;1
13321;5838;;
35456;15655;thai_ckn_l;1
22058;9685;classic_dlx_s;1
34564;15258;four-ch33s3-m;One
7111;3138;cali_ckn_l;
17170;7554;bbq_ckn_l;1
855;376;;1
47602;20913;hawaiian m;one
19189;8435;ital_cpcllo_s;1
19415;8537;ital-supr-m;1
11865;5210;;1
46290;20330;pepperoni_s;1
22617;9944;cali-ckn-l;one
46109;20246;p3p_msh_p3p_m;1
14069;6164;soppressata_l;1
15729;6905;soppressata-l;1
20768;9111;classic-dlx-s;1
42567;18721;the-greek-s;1
23187;10197;southw_ckn_m;
38257;16875;pepperoni_m;1
46307;20340;;1
41387;18222;ital veggie m;
32771;14488;ital cpcllo m;One
23948;10528;pepperoni_m;1
40369;17789;mexicana_m;
30921;13665;sicilian_m;1
36656;16173;napolitana-l;1
28798;12698;;1
24330;10695;four_cheese_l;1
18667;8202;southw_ckn_l;
32185;14219;ital_cpcllo_l;1
21824;9575;spin_pesto_l;1
47688;20963;green_garden_m;1
35954;15874;the-greek-xxl;1
12648;5557;;1
13156;5762;;one
20191;8873;ital-supr-m;1
25374;11165;spicy_ital_m;
44498;19556;spinach_supr_m;1
11174;4902;pep-msh-pep-s;1
34986;15444;mexic@n@_s;One
25782;11348;mediterraneo_l;one
37168;16411;;1
27654;12176;ital_cpcllo_l;
12660;5561;;1
24416;10731;ital-cpcllo-l;
26222;11546;mediterraneo_l;1
29861;13186;prsc argla m;1
21913;9622;ital_veggie_s;1
21011;9211;cali_ckn_l;1
139;58;;one
39074;17219;pep_msh_pep_s;1
31227;13788;;1
38401;16939;it@l_cpcllo_l;1
38350;16915;green-garden-s;1
14349;6278;cali-ckn-l;one
788;344;it@l-cpcllo-m;1
13986;6131;spinach_fet_m;-1
26195;11532;spicy-ital-s;1
43534;19138;;1
20842;9144;bbq_ckn_m;one
24941;10974;classic_dlx_s;1
44526;19569;peppr-salami-s;1
25928;11411;peppr_salami_l;
34380;15177;cali_ckn_l;1
46286;20328;bbq_ckn_l;one
13797;6044;southw_ckn_l;1
9897;4334;peppr_salami_l;1
21129;9268;ital_supr_s;-1
34326;15148;ital-supr-m;1
10681;4672;veggie-veg-m;1
14228;6223;ital_supr_l;one
3986;1779;c@l@brese m;One
33910;14976;peppr-salami-l;1
41394;18223;southw_ckn_s;1
34969;15438;bbq_ckn_m;1
33930;14980;thai-ckn-l;1
45679;20054;cali-ckn-s;one
23969;10537;four_cheese_m;1
4416;1965;five_cheese_l;1
2225;988;ital-veggie-l;1
21256;9320;veggie-veg-l;one
25271;11121;spicy_ital_l;1
35955;15875;spinach_supr_s;1
27497;12099;napolitana_s;1
10366;4534;sicilian_m;
44103;19380;thai_ckn_l;
35961;15879;classic_dlx_m;1
15381;6744;spicy ital s;one
30206;13341;the_greek_l;1
29664;13104;ital_veggie_l;1
28759;12674;mediterraneo_l;1
25136;11062;five_cheese_l;1
11268;4947;calabrese_m;
1286;568;mexicana l;1
41567;18286;the_greek_l;1
29043;12812;ckn pesto l;one
28087;12363;hawaiian_s;1
36308;16030;;1
15899;6989;southw-ckn-l;1
23850;10487;spinach_fet_l;1
35899;15849;soppressata-m;1
27628;12163;green_garden_s;
8071;3539;spinach-fet-s;
43381;19074;ital_supr_m;1
10429;4566;;one
23178;10193;sicilian_l;
24434;10738;bbq_ckn_m;
43239;19005;veggie_veg_s;1
31143;13752;;1
11565;5085;veggie_veg_s;1
30262;13370;southw_ckn_m;1
42967;18891;classic_dlx_s;1
25304;11136;sicilian-s;
42081;18514;ital_supr_l;1
41063;18084;calabrese-m;1
36847;16257;pepperoni s;1
21173;9283;n@polit@n@-s;1
15461;6781;gr33n-gard3n-m;1
27755;12224;veggie_veg_l;1
23430;10297;;1
33244;14694;;1
32322;14281;ckn_pesto_l;1
6973;3077;thai_ckn_l;1
44966;19764;pepperoni_m;1
42124;18530;bbq_ckn_l;1
5189;2298;thai_ckn_l;1
830;363;mediterraneo_l;1
41947;18457;napolitana_l;1
30881;13646;mediterraneo-m;-1
1807;801;;
2123;946;cali_ckn_s;1
6203;2746;;1
17763;7797;bbq-ckn-l;1
28976;12784;;one
25936;11414;cali-ckn-s;1
20469;8990;hawaiian_m;1
5894;2612;napolitana-l;1
26720;11767;five_cheese_l;1
41330;18195;ckn-alfredo-m;one
25159;11074;green garden l;one
46757;20530;;-1
2729;1209;four_cheese_l;2
32838;14516;soppressata_l;1
47646;20937;thai_ckn_l;1
27828;12257;mexicana_l;1
15325;6722;pepperoni_l;1
34167;15083;green garden s;1
16191;7123;thai_ckn_l;1
5810;2576;big-meat-s;1
7936;3486;green_garden_s;1
20646;9064;spin@ch_fet_l;1
17659;7750;;1
16334;7186;spicy_ital_s;1
42766;18810;pepperoni_m;1
14969;6561;sicilian_l;-1
22622;9944;mediterraneo-s;1
39562;17421;brie_carre_s;1
41862;18417;pepperoni_s;1
21715;9532;ital_supr_m;1
4589;2033;spin_pesto_s;1
24950;10978;sicilian-l;one
34469;15215;five_cheese_l;one
29995;13245;cali-ckn-l;1
25492;11218;southw_ckn_l;1
45872;20136;;1
14855;6508;mexicana_m;1
2728;1208;ital_cpcllo_s;1
24857;10931;v3ggi3 v3g m;
19671;8649;veggie_veg_s;1
7083;3126;cali-ckn-m;-1
21620;9489;hawaiian_s;1
30219;13346;thai-ckn-m;1
10501;4603;;
37804;16691;;1
42755;18804;ckn-pesto-l;one
34422;15193;ital_supr_l;1
45555;20005;big-meat-s;one
19169;8424;;1
40364;17788;pep_msh_pep_l;1
26687;11753;thai_ckn_l;1
11545;5077;n@polit@n@-m;1
36243;16001;pepperoni_l;1
15380;6744;;1
35487;15671;cali_ckn_m;1
23254;10228;;1
15695;6887;hawaiian s;1
13837;6062;bbq_ckn_m;1
35833;15822;spicy ital l;1
23689;10420;it@l_veggie_m;1
36172;15970;prsc-argla-s;1
38539;16987;;one
26117;11502;;
3204;1420;;1
2341;1041;;1
1253;552;ital_supr_l;1
19345;8507;;1
25151;11069;spin_pesto_s;
24197;10630;southw_ckn_s;1
11328;4974;hawaiian l;1
28237;12443;green_garden_s;1
19588;8612;prsc_argla_m;1
6687;2951;five_cheese_l;1
17854;7830;napolitana_m;
1194;522;the_greek_m;1
34781;15354;ital_supr_m;1
31053;13716;pepperoni_s;1
9223;4040;nap0litana_l;1
20395;8957;ckn_alfredo_l;1
41615;18310;mediterraneo_l;
15642;6857;bbq_ckn_l;1
44806;19690;peppr_salami_l;One
1218;536;brie_carre_s;one
15434;6768;veggie_veg_l;1
48568;21327;spicy_ital_l;-1
38147;16829;thai_ckn_l;1
3151;1396;ckn pesto s;1
18211;7992;southw_ckn_s;1
18477;8114;pep_msh_pep_s;1
32621;14414;spinach-fet-m;1
43004;18903;cali-ckn-m;1
7867;3456;southw_ckn_l;one
45136;19839;prsc_@rgl@_m;1
41929;18452;southw_ckn_s;1
36643;16167;big-meat-s;2
41217;18153;big_meat_s;1
29613;13084;sicilian_s;one
15684;6880;big_meat_s;
8318;3654;bbq_ckn_s;-1
19613;8625;pepperoni_l;one
37428;16523;four_cheese_l;1
31629;13968;pepperoni l;1
7657;3371;ital-cpcllo-m;1
208;89;soppressata-l;one
47477;20860;southw-ckn-l;1
2724;1206;sicilian_s;1
43255;19013;spicy_ital_l;1
47488;20865;ital-supr-l;1
6278;2779;classic_dlx_m;1
36415;16079;southw-ckn-l;1
22074;9694;peppr-salami-s;1
46334;20354;classic_dlx_l;1
42393;18648;the_greek_l;1
369;154;prsc_argla_s;1
45276;19897;the_greek_xl;1
35888;15843;cali ckn m;1
17760;7795;prsc-argla-l;1
37333;16476;big-meat-s;1
8759;3841;southw_ckn_l;1
43517;19132;spicy-ital-s;1
22548;9906;n@polit@n@_s;1
42838;18841;cali_ckn_m;1
45694;20061;;1
18796;8260;five cheese l;1
13407;5882;ckn-pesto-l;1
14463;6329;prsc-argla-l;
41729;18353;sicilian s;1
13395;5876;;-1
35469;15661;mediterraneo_s;1
137;57;classic-dlx-m;1
42461;18677;southw_ckn_l;1
29438;13005;four-cheese-m;1
25702;11306;ital-supr-l;1
40856;17997;spicy_ital_l;1
18462;8109;thai_ckn_m;1
39596;17436;mexicana_m;1
27833;12257;thai_ckn_l;1
40329;17772;southw_ckn_m;
16367;7205;mediterraneo_l;1
3698;1641;pepperoni_l;1
13661;5986;spinach-supr-l;1
42003;18478;ital_supr_m;2
14803;6480;big-meat-s;
8434;3697;green_garden_m;1
30012;13254;;1
11204;4917;classic dlx m;1
27415;12062;four-cheese-l;1
44766;19674;five_cheese_l;1
804;350;spicy_it@l_s;One
33645;14851;bbq_ckn_m;One
15992;7033;spinach_fet_m;1
8892;3896;five cheese l;one
11747;5161;s0ppressata_l;1
11615;5107;pepperoni_s;1
27929;12295;n@polit@n@_m;1
7446;3281;spinach_supr_s;1
9937;4354;spin-p3sto-s;one
7567;3334;four-cheese-l;1
793;346;;1
32582;14398;sicili@n_m;1
42309;18614;cl@ssic dlx m;-1
26786;11794;sicilian_l;
4498;1999;ital-veggie-m;1
222;92;spinach-supr-s;1
23866;10495;classic-dlx-m;1
5668;2512;hawaiian_s;1
41097;18106;mexicana_l;1
16512;7268;pep_msh_pep_s;1
19571;8605;hawaiian_m;one
36690;16191;;1
24592;10812;prsc_@rgl@_l;1
44739;19659;pepperoni_m;1
37863;16715;peppr_salami_m;1
1455;645;bbq_ckn_m;1
16169;7119;napolitana_m;1
29644;13099;hawaiian_m;one
29294;12931;ital_supr_m;1
37451;16536;ckn_pesto_l;2
34183;15090;;one
10650;4664;ital_supr_m;1
28416;12517;prsc_argla_m;1
14049;6158;pepperoni-m;1
22489;9876;spicy-ital-l;1
19524;8583;spinach_fet_s;1
33640;14849;sicilian_s;1
36013;15901;sicilian_l;1
4074;1812;veggie_veg_l;1
5885;2609;ital-veggie-l;1
22595;9931;pep_msh_pep_m;1
37899;16730;thai_ckn_m;1
17717;7781;southw_ckn_s;1
19760;8691;spicy_ital_l;1
2078;927;ckn-alfredo-m;
17890;7845;spin-pesto-s;one
21941;9634;the greek s;1
42670;18766;ckn_alfredo_l;1
8569;3753;five_cheese_l;1
48226;21191;ckn_pesto_m;-1
24769;10897;classic-dlx-m;1
31965;14109;five-cheese-l;1
3931;1750;bbq_ckn_l;1
5470;2418;soppressata_m;One
21123;9264;c@l@br3s3_m;1
2556;1132;five_cheese_l;1
33053;14611;th@i ckn l;one
15252;6690;pep_msh_pep_s;
39493;17391;peppr-salami-l;1
40773;17962;bbq-ckn-m;1
37914;16738;cali_ckn_m;one
34707;15321;;
33875;14959;big-meat-s;1
28471;12542;the-greek-xl;1
33186;14666;spin-pesto-l;1
28582;12591;southw_ckn_l;1
40864;18000;four_cheese_m;1
47752;20992;veggie veg m;1
24687;10854;;1
46474;20411;bbq-ckn-l;1
19231;8453;pepperoni_m;
24087;10580;;One
14025;6149;cali_ckn_m;1
35579;15705;soppressata m;1
19158;8420;hawaiian_l;
18050;7921;pepperoni_l;1
5335;2364;;1
9484;4152;;one
40101;17670;peppr_salami_m;1
8208;3605;hawaiian s;one
4370;1946;mediterraneo-s;2
24399;10722;ital_supr_m;1
20268;8904;sicilian-s;1
28810;12704;big_m3at_s;1
13509;5926;the_greek_m;1
18955;8324;napolitana-m;
30896;13654;spin_pesto_m;1
15221;6675;four cheese l;1
48197;21179;five_cheese_l;1
31230;13789;the-greek-s;
17048;7500;pepperoni_s;1
675;298;cali-ckn-m;1
39381;17343;peppr_salami_l;2
4432;1970;bbq_ckn_s;1
46247;20310;ital_veggie_m;1
8763;3843;bbq_ckn_m;1
47429;20842;ckn_pesto_l;1
15328;6723;spicy_ital_m;1
22604;9936;spinach_supr_s;1
24278;10667;big meat s;1
22635;9947;five_cheese_l;
48187;21173;four_cheese_m;1
26469;11658;spinach_fet_s;1
25650;11284;s0ppressata_l;2
16310;7174;it@l-supr-s;
28457;12537;sicilian_s;1
40140;17691;ital-supr-l;1
15176;6657;four_cheese_l;1
26794;11797;cali_ckn_s;1
19208;8442;cali_ckn_l;1
38142;16827;pepperoni l;1
3837;1705;mexicana_m;1
20421;8966;;1
30587;13506;southw_ckn_l;1
37042;16353;hawaiian-l;1
114;46;thai ckn m;1
39488;17388;the_greek_xl;1
8431;3694;c@l@brese_m;1
12817;5625;ckn-alfredo-m;1
5285;2341;ital_supr_l;1
25205;11095;cl@ssic_dlx_l;1
33957;14997;fiv3-ch33s3-l;1
30559;13491;four-cheese-l;1
4625;2051;spinach_supr_l;-1
20889;9163;pepperoni_l;1
25617;11265;pepperoni-s;One
20742;9102;ital_supr_l;1
15537;6811;cali_ckn_l;1
20793;9121;pep_msh_pep_s;1
32081;14169;green_garden_m;one
21072;9239;classic dlx m;1
36892;16279;hawaiian_s;1
36712;16200;classic_dlx_m;2
19540;8591;spicy-ital-l;1
48579;21332;cali-ckn-s;1
23758;10450;mexicana_m;one
25590;11252;veggie_veg_l;1
8872;3887;spin pesto l;1
37129;16395;the_greek_xl;1
18417;8089;spicy-it@l-m;1
40570;17875;ckn @lfredo m;1
10213;4474;ital_supr_m;1
48311;21225;brie_carre_s;
46889;20588;mexicana_l;1
44274;19460;peppr_salami_l;
30669;13539;bbq_ckn_m;1
12919;5668;it@l_supr_m;1
25065;11028;five_cheese_l;1
17125;7533;cl@ssic dlx l;one
47710;20974;mediterraneo-m;1
23529;10347;spicy-ital-l;1
32640;14422;;one
21967;9645;peppr-salami-l;1
32270;14256;spinach fet l;1
46807;20551;peppr salami s;1
28733;12661;bbq_ckn_l;
22714;9989;classic_dlx_s;1
34463;15213;five_cheese_l;1
16406;7222;prsc-argla-l;1
44516;19564;cali_ckn_l;1
36221;15992;;1
17038;7496;bbq_ckn_l;1
21458;9415;hawaiian_s;1
48033;21115;big_meat_s;1
22109;9712;soppressata_l;One
8934;3914;th@i_ckn_l;1
18090;7941;spinach_supr_s;
19301;8486;veggie_veg_l;1
28857;12726;classic_dlx_m;1
13317;5836;mediterraneo_s;1
14222;6222;five_cheese_l;1
34622;15279;napolitana_s;1
44192;19424;ital_cpcllo_l;-1
26992;11880;prsc_argla_l;one
21777;9558;spicy_it@l_m;1
44842;19706;sicilian_s;1
4383;1952;mexicana_l;one
20547;9028;cali_ckn_m;one
27218;11976;spicy_ital_s;1
4173;1851;s0ppressata-m;1
15510;6800;mediterraneo-m;1
24863;10934;cali_ckn_s;1
36252;16004;sicilian-l;1
37785;16683;spin_pesto_m;One
46736;20524;cali_ckn_l;
37918;16740;ital_supr_s;1
178;77;bbq_ckn_m;1
825;360;hawaiian_s;1
33671;14863;classic-dlx-m;1
32119;14186;brie_carre_s;1
4460;1985;prsc_argla_s;1
4885;2162;classic_dlx_s;One
9849;4310;hawaiian_l;1
22577;9922;spinach_supr_l;1
32045;14151;four_cheese_l;One
25302;11134;thai_ckn_s;1
14792;6472;;1
25145;11066;calabrese-l;1
447;190;bbq_ckn_l;1
16593;7307;classic-dlx-m;one
28300;12466;peppr_salami_l;1
2165;963;sicili@n_m;
34567;15259;bbq_ckn_s;1
387;161;the-greek-xl;1
12699;5579;green_garden_s;1
35170;15529;bbq_ckn_l;1
38235;16866;ital_cpcllo_l;1
8249;3622;the_greek_xl;1
45714;20069;hawaiian_l;one
10488;4597;brie-c@rre-s;1
31045;13713;peppr-salami-m;1
7710;3394;veggie_veg_l;one
10027;4387;;1
24762;10893;five-cheese-l;1
6368;2815;big_meat_s;1
16672;7339;;1
12753;5598;;
21845;9587;ital-cpcllo-m;1
10628;4652;;1
33466;14781;big meat s;1
23128;10176;;1
14521;6351;sicilian_m;-1
45573;20011;five_cheese_l;1
16689;7350;;1
18978;8330;pepperoni_s;1
34306;15139;ital-supr-l;1
1817;801;thai-ckn-l;1
19551;8597;four-cheese-m;1
20959;9195;ckn_alfr3do_m;
1444;641;pepperoni_m;1
21235;9310;four_cheese_m;
31451;13884;;2
10100;4422;thai-ckn-m;1
37542;16576;veggie_veg_s;two
4990;2206;big_meat_s;1
3531;1569;brie-carre-s;1
30358;13416;thai_ckn_s;-1
30821;13613;;1
25881;11388;ckn_alfredo_m;1
29862;13187;ital-supr-l;1
10632;4655;;1
26092;11487;thai_ckn_l;one
12068;5305;ckn_alfredo_m;1
29429;13001;ckn-pesto-m;1
25030;11011;spicy-ital-l;1
32588;14400;peppr_salami_s;One
21971;9647;prsc_argla_s;1
9711;4253;thai_ckn_m;1
8838;3874;;1
5135;2273;c@l@brese-s;1
47492;20867;classic-dlx-l;one
33378;14751;hawaiian_l;1
15994;7035;ital_cpcllo_l;1
36922;16292;bbq_ckn_l;1
26130;11506;ckn_pesto_l;1
21242;9314;;one
281;117;sicilian_l;1
22272;9781;;one
29704;13123;peppr_salami_l;1
21818;9575;hawaiian-s;one
18502;8123;bbq_ckn_m;1
5751;2547;mexicana_l;1
38262;16877;;1
28995;12793;classic dlx l;one
16272;7156;spinach_fet_m;1
6062;2690;pep_msh_pep_s;1
34843;15386;prsc_argla_m;1
1970;876;;1
42875;18850;classic dlx l;1
40943;18035;sicilian l;1
13934;6102;spinach_supr_l;1
2794;1235;pep_msh_pep_m;
45104;19827;cali-ckn-l;1
4933;2184;cl@ssic-dlx-m;1
18963;8328;classic_dlx_l;1
1997;887;spicy_ital_m;-1
25852;11377;;1
29922;13216;spinach_supr_l;1
9234;4046;;1
4629;2052;sicilian_s;1
29842;13179;ital_supr_m;one
6277;2778;green_garden_s;1
36786;16236;spicy_ital_s;1
29178;12882;spinach_fet_m;1
36878;16271;mediterr@ne0_l;one
11367;4993;soppress@t@-s;1
9824;4303;cali_ckn_m;1
36746;16216;bbq_ckn_m;1
9557;4186;prsc_argla_l;1
6328;2797;veggie veg m;1
47743;20990;ckn_alfredo_m;1
15946;7014;big_me@t_s;one
13158;5763;big_meat_s;1
41974;18467;cali-ckn-l;
42429;18666;hawaiian_s;1
37625;16617;four_cheese_l;1
7848;3449;pepperoni_m;2
41117;18110;;1
9941;4356;cali ckn m;one
47573;20901;ital_veggie_s;1
22420;9848;the_greek_m;
14412;6304;thai_ckn_s;-1
24426;10735;five-cheese-l;1
28313;12472;mediterraneo_l;1
23844;10484;hawaiian_s;1
4652;2064;bbq ckn s;-1
8080;3546;hawaiian_s;1
33510;14798;spin pesto s;1
12108;5320;bbq_ckn_l;1
14545;6361;spinach_fet_s;1
7864;3455;green_garden_s;one
28393;12507;classic_dlx_m;one
48451;21278;ital_cpcllo_s;one
45885;20146;soppressata_s;one
25802;11354;green_garden_s;One
12009;5277;brie_carre_s;
28337;12482;;1
14034;6152;bbq-ckn-l;1
47596;20909;napolitana s;
5937;2630;thai_ckn_l;1
45004;19780;thai_ckn_s;1
29859;13185;thai-ckn-s;1
24468;10760;big_meat_s;2
14821;6488;pep-msh-pep-m;1
10540;4620;peppr salami s;1
37436;16529;napolitana_m;1
33783;14915;peppr_salami_l;1
33706;14881;;1
16375;7208;hawaiian m;1
21717;9532;veggie_veg_s;1
13644;5975;spinach_fet_m;one
3905;1737;ckn_@lfredo_m;One
1701;756;ckn_pesto_s;1
45355;19930;southw_ckn_l;1
7977;3503;hawaiian_s;one
22728;9997;four_cheese_l;one
43321;19048;hawaiian-m;1
13637;5974;sicilian s;1
9709;4252;five_cheese_l;One
45220;19874;pep msh pep s;1
7595;3349;pep-msh-pep-s;one
18892;8290;cali-ckn-m;1
21667;9510;;1
9063;3973;thai ckn l;1
25673;11295;calabrese-m;1
38837;17115;thai_ckn_s;
40898;18012;;1
22121;9718;pepperoni_m;1
22894;10069;it@l_veggie_m;1
24724;10873;ckn_@lfredo_s;1
47449;20850;napolitana-l;1
13619;5969;;1
26985;11875;;1
43262;19018;mexicana_s;one
5869;2602;;one
27948;12304;sicilian_m;1
42147;18540;spinach_fet_m;one
4089;1818;napolitana_l;1
17726;7783;thai_ckn_l;1
26009;11450;ckn-@lfredo-m;1
15290;6701;sicilian_s;2
14773;6463;pepperoni m;1
9471;4147;ital-cpcllo-l;1
10069;4406;sicilian s;1
2754;1218;spinach-fet-s;1
43437;19102;bbq ckn m;1
6653;2938;ital_supr_m;1
26262;11562;thai_ckn_l;1
32991;14583;mediterraneo-l;1
7515;3309;peppr-salami-l;1
32764;14482;big meat s;1
39228;17287;five_cheese_l;one
12910;5665;ital_cpcllo_s;1
27837;12259;big_meat_s;one
17105;7525;thai_ckn_l;one
591;260;five-cheese-l;1
8103;3556;bbq_ckn_l;1
17833;7823;soppressata_l;
38029;16785;ital-veggie-m;1
11099;4864;spin_pesto_s;1
25543;11235;southw_ckn_s;1
28718;12652;big-meat-s;1
21614;9486;;one
16549;7288;bbq_ckn_m;1
45239;19878;veggie_veg_s;1
45891;20148;;1
36109;15944;pep-msh-pep-m;
12032;5285;southw_ckn_l;1
2212;982;four-cheese-l;1
13050;5722;southw ckn s;1
4727;2094;hawaiian s;one
8661;3794;the-greek-s;1
2277;1016;cali_ckn_m;1
31035;13709;spinach_fet_l;1
46553;20445;classic_dlx_m;1
12349;5427;pep-msh-pep-s;1
33468;14781;pep-msh-pep-l;1
16278;7160;peppr-salami-s;1
15527;6806;spinach-fet-m;1
22890;10068;green_garden_l;1
217;92;ital-supr-m;1
34212;15099;veggie_veg_m;1
18491;8119;pepperoni_l;1
28292;12462;;
8769;3846;;1
43992;19332;peppr_salami_s;1
36614;16153;;one
38258;16876;prsc_argla_l;1
17703;7769;soppressata-l;1
20026;8807;mexicana_m;1
28982;12787;sicili@n_s;1
43730;19222;spinach_fet_s;1
41579;18292;spicy_ital_l;1
10224;4479;big_meat_s;1
41197;18147;southw_ckn_l;1
35785;15801;hawaiian s;1
29879;13194;spin_pesto_s;1
29422;12998;thai_ckn_l;1
4613;2047;spinach-fet-l;1
47082;20693;ital-supr-l;One
30523;13480;pep msh pep l;1
41344;18201;cali-ckn-l;1
29614;13085;;one
17389;7646;spinach-supr-s;1
34598;15271;hawaiian-l;1
9925;4349;napolitana_l;1
22512;9888;;1
27878;12272;pepperoni_m;1
40112;17679;ckn_pesto_s;1
21087;9246;big-meat-s;one
46618;20469;sicilian-s;one
12846;5638;thai-ckn-l;1
30364;13417;spin_pesto_l;1
45330;19919;spin-pesto-s;1
47830;21026;;1
8887;3895;big_meat_s;1
18709;8219;thai_ckn_m;1
22710;9985;peppr_salami_l;1
25880;11387;the_greek_s;1
36204;15984;pepperoni_m;one
39395;17348;calabrese_m;1
40745;17948;pepperoni m;one
23841;10482;peppr-salami-s;1
12876;5647;;
31388;13858;cali_ckn_s;1
30066;13280;mediterraneo_l;
3660;1627;bbq_ckn_l;1
47689;20963;prsc argla s;1
6789;2999;calabrese_l;One
23238;10218;;1
36567;16137;thai_ckn_s;
40345;17779;prsc_argla_l;1
45852;20128;calabrese_m;One
1707;757;veggie_veg_m;1
25902;11398;;one
19955;8776;green_garden_m;one
856;377;hawaiian_m;-1
46212;20298;;1
1508;670;ital cpcllo s;1
13755;6026;s0ppressata_s;one
41221;18155;m3xicana_l;1
35376;15615;spicy-ital-l;1
7032;3101;calabrese_l;1
20523;9012;mexicana_s;1
6828;3015;bbq_ckn_m;one
26659;11741;thai_ckn_s;1
5754;2548;bbq_ckn_l;1
14639;6394;soppressata_l;one
15087;6613;;1
28964;12777;calabrese_m;1
16141;7108;pep_msh_pep_m;1
27271;12003;ital_cpcllo_m;2
12633;5549;peppr_salami_l;one
430;183;;1
15068;6601;spinach supr m;1
27214;11975;ital-supr-l;One
6399;2829;ckn_pest0_s;1
32138;14195;five_cheese_l;1
11225;4928;ital-cpcll0-s;1
10462;4582;sicili@n_m;1
1791;797;prsc-argla-m;1
2914;1284;;1
18365;8064;pepperoni m;1
23845;10485;;
5332;2363;;1
15061;6597;sicilian-m;1
15008;6581;c@l@brese_s;1
27385;12050;peppr_salami_l;1
3302;1458;napolitana_m;1
36143;15958;ckn alfred0 s;1
30252;13366;classic_dlx_m;
32460;14347;sicilian m;1
29085;12829;southw-ckn-l;1
38211;16854;ital-cpcllo-m;one
28463;12539;ital_supr_m;
13442;5896;ital_cpcllo_s;1
33104;14633;;
22687;9974;;one
26806;11801;thai_ckn_l;1
9990;4373;big_meat_s;1
3442;1523;prsc_argla_l;
7265;3201;veggie veg l;1
27229;11981;ckn_alfr3do_m;one
24365;10708;;
42142;18537;spinach_fet_m;1
20053;8816;bbq_ckn_m;one
9076;3978;thai_ckn_m;1
1533;682;ital_supr_l;1
12329;5417;spinach-supr-s;1
13935;6103;;one
9723;4259;;1
21110;9257;ital supr m;1
12263;5386;big_me@t_s;1
31858;14062;four_cheese_l;1
12089;5315;ital_supr_m;one
29918;13215;big_meat_s;1
34729;15330;s0ppressata_s;1
878;387;;1
47360;20813;sicilian_m;1
21442;9408;southw_ckn_l;One
14438;6317;pepperoni_s;1
