ingredient,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Total
Green Olives,24.924242424242426,26.62121212121212,24.733333333333334,29.61212121212121,29.378787878787882,27.936363636363637,21.36060606060606,184.56666666666666
Kalamata Olives,16.693939393939395,13.724242424242425,14.403030303030302,15.463636363636365,19.74848484848485,17.62727272727273,11.284848484848485,108.94545454545457
Feta Cheese,22.421212121212122,20.745454545454542,19.11212121212121,20.490909090909092,25.772727272727273,23.587878787878786,16.715151515151515,148.84545454545452
Beef Chuck Roast,7.806060606060606,6.915151515151515,6.766666666666667,8.124242424242425,9.715151515151515,9.757575757575758,4.857575757575757,53.942424242424245
Brie Carre Cheese,1.2727272727272727,1.4,1.187878787878788,1.5696969696969696,1.2727272727272727,1.1454545454545455,1.4848484848484849,9.333333333333334
Prosciutto,1.2727272727272727,1.4,1.187878787878788,1.5696969696969696,1.2727272727272727,1.1454545454545455,1.4848484848484849,9.333333333333334
Caramelized Onions,1.2727272727272727,1.4,1.187878787878788,1.5696969696969696,1.2727272727272727,1.1454545454545455,1.4848484848484849,9.333333333333334
Pears,1.2727272727272727,1.4,1.187878787878788,1.5696969696969696,1.2727272727272727,1.1454545454545455,1.4848484848484849,9.333333333333334
Thyme,1.2727272727272727,1.4,1.187878787878788,1.5696969696969696,1.2727272727272727,1.1454545454545455,1.4848484848484849,9.333333333333334
ï¿½Nduja Salami,4.2,3.5636363636363635,4.157575757575757,4.5181818181818185,4.2,4.157575757575757,3.7545454545454544,28.55151515151515
Pancetta,4.2,3.5636363636363635,4.157575757575757,4.5181818181818185,4.2,4.157575757575757,3.7545454545454544,28.55151515151515
Friggitello Peppers,4.2,3.5636363636363635,4.157575757575757,4.5181818181818185,4.2,4.157575757575757,3.7545454545454544,28.55151515151515
Calabrese Salami,8.018181818181818,8.972727272727273,8.124242424242425,10.648484848484848,9.333333333333334,9.015151515151516,8.039393939393939,62.151515151515156
Genoa Salami,5.663636363636364,6.787878787878788,6.257575757575758,7.148484848484848,8.442424242424243,6.109090909090909,6.490909090909091,46.900000000000006
Prosciutto di San Daniele,5.366666666666666,6.024242424242424,5.239393939393939,6.215151515151515,7.742424242424242,6.109090909090909,5.9818181818181815,42.67878787878788
Arugula,5.366666666666666,6.024242424242424,5.239393939393939,6.215151515151515,7.742424242424242,6.109090909090909,5.9818181818181815,42.67878787878788
Coarse Sicilian Salami,6.618181818181818,8.081818181818182,8.124242424242425,8.803030303030303,9.1,8.421212121212122,5.642424242424243,54.79090909090909
Luganega Sausage,6.618181818181818,8.081818181818182,8.124242424242425,8.803030303030303,9.1,8.421212121212122,5.642424242424243,54.79090909090909
Onions,6.618181818181818,8.081818181818182,8.124242424242425,8.803030303030303,9.1,8.421212121212122,5.642424242424243,54.79090909090909
Soppressata Salami,4.581818181818182,4.412121212121212,4.666666666666667,4.306060606060606,4.5181818181818185,4.433333333333334,3.0757575757575757,29.993939393939392
Artichokes,24.478787878787877,22.569696969696967,22.61212121212121,23.884848484848483,33.09090909090909,27.299999999999997,21.14848484848485,175.0848484848485
Peperoncini verdi,8.506060606060606,8.590909090909092,7.233333333333333,8.951515151515151,12.218181818181819,10.054545454545455,8.06060606060606,63.61515151515152
Provolone Cheese,7.890909090909091,8.23030303030303,7.721212121212122,8.484848484848484,9.927272727272728,7.636363636363637,6.787878787878788,56.67878787878788
Smoked Gouda Cheese,7.890909090909091,8.23030303030303,7.721212121212122,8.484848484848484,9.927272727272728,7.636363636363637,6.787878787878788,56.67878787878788
Romano Cheese,7.890909090909091,8.23030303030303,7.721212121212122,8.484848484848484,9.927272727272728,7.636363636363637,6.787878787878788,56.67878787878788
Blue Cheese,7.890909090909091,8.23030303030303,7.721212121212122,8.484848484848484,9.927272727272728,7.636363636363637,6.787878787878788,56.67878787878788
Ricotta Cheese,8.590909090909092,10.754545454545454,11.00909090909091,11.072727272727272,11.815151515151515,9.842424242424242,8.081818181818182,71.16666666666666
Gorgonzola Piccante Cheese,8.590909090909092,10.754545454545454,11.00909090909091,11.072727272727272,11.815151515151515,9.842424242424242,8.081818181818182,71.16666666666666
Parmigiano Reggiano Cheese,8.590909090909092,10.754545454545454,11.00909090909091,11.072727272727272,11.815151515151515,9.842424242424242,8.081818181818182,71.16666666666666
Eggplant,3.7545454545454544,3.6484848484848484,4.221212121212122,4.221212121212122,5.642424242424243,4.7303030303030305,2.9909090909090907,29.209090909090914
Zucchini,9.82121212121212,10.245454545454546,11.072727272727274,9.8,13.045454545454547,12.472727272727273,8.548484848484849,75.00606060606061
Sun-dried Tomatoes,8.081818181818182,7.0212121212121215,6.83030303030303,6.9787878787878785,10.075757575757576,8.4,7.042424242424243,54.43030303030304
Plum Tomatoes,4.751515151515152,3.5,3.309090909090909,3.606060606060606,4.878787878787879,3.7545454545454544,3.3727272727272726,27.172727272727272
