,Week 0,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Week 25,Week 26,Week 27,Week 28,Week 29,Week 30,Week 31,Week 32,Week 33,Week 34,Week 35,Week 36,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Week 44,Week 45,Week 46,Week 47,Week 48,Week 49,Week 50,Week 51
soppressata,22,24,36,25,32,24,29,31,21,31,18,33,40,40,33,36,26,19,43,35,26,37,24,32,19,50,36,32,25,23,32,17,39,38,15,27,27,28,13,32,39,22,26,29,29,27,20,31,26,29,20,15
spicy_ital,71,57,62,47,66,69,48,50,60,71,66,50,92,57,75,46,63,70,78,76,64,59,65,59,65,71,77,70,82,73,52,63,60,53,54,62,61,51,34,55,35,88,40,70,70,46,67,74,79,57,52,27
spinach_supr,34,31,27,13,36,21,21,28,37,24,25,21,27,33,34,21,26,31,27,24,35,28,23,34,33,21,21,26,32,20,34,32,24,18,28,20,21,35,16,19,30,28,24,24,17,33,19,16,34,31,19,15
five_cheese,74,62,58,58,62,56,48,60,54,68,42,62,62,44,44,60,48,46,64,58,52,58,64,60,54,50,74,58,64,64,48,58,40,66,40,60,70,52,34,60,38,60,42,50,52,46,54,60,44,36,40,30
four_cheese,61,66,62,64,85,76,60,74,61,81,93,70,49,71,64,70,62,76,91,79,75,69,75,60,43,67,63,78,76,52,56,62,64,56,54,82,63,63,40,70,72,75,57,70,56,63,63,87,89,52,59,54
green_garden,25,26,25,14,15,24,28,27,31,33,26,15,31,22,23,27,17,25,26,22,31,30,18,31,25,25,35,24,26,21,29,21,24,22,26,36,23,27,20,24,23,22,18,25,23,10,15,24,14,23,18,16
ital_veggie,25,37,29,38,37,30,22,32,32,30,31,23,25,32,25,32,29,28,40,18,20,32,25,19,25,27,30,18,34,17,21,31,26,22,25,22,29,22,23,30,21,41,15,16,23,15,29,35,27,34,37,13
mediterraneo,26,20,29,23,17,21,24,22,46,23,21,22,37,33,33,32,15,25,34,30,33,28,23,37,25,21,41,30,34,26,21,32,33,23,21,24,40,31,15,24,15,27,16,36,30,34,29,30,21,39,33,18
mexicana,49,58,36,52,68,35,53,41,45,55,47,51,52,50,70,58,39,32,44,46,38,61,42,68,42,37,66,44,59,64,62,42,45,43,43,50,41,41,35,47,35,39,48,56,68,49,59,82,69,35,39,23
spin_pesto,32,22,26,26,24,27,22,31,23,31,26,31,40,4,27,18,17,47,36,36,15,24,34,32,27,35,31,24,21,21,31,22,38,23,27,36,32,24,24,19,15,19,17,25,23,19,44,37,20,21,28,21
spinach_fet,41,46,42,50,42,47,30,32,42,38,61,34,39,43,45,31,47,46,44,48,49,58,36,41,30,40,42,61,41,33,41,48,61,45,46,32,49,41,27,40,31,38,18,36,42,27,44,49,52,46,37,23
veggie_veg,45,50,50,45,62,51,47,53,51,51,52,39,41,42,43,49,53,35,34,44,31,35,42,43,39,43,50,43,47,51,43,44,41,37,42,37,47,34,30,22,25,53,37,31,23,48,47,48,59,61,38,34
