,Week 0,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Week 25,Week 26,Week 27,Week 28,Week 29,Week 30,Week 31,Week 32,Week 33,Week 34,Week 35,Week 36,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Week 44,Week 45,Week 46,Week 47,Week 48,Week 49,Week 50,Week 51,Week 52
peppr_salami,21,30,32,34,28,24,25,29,38,31,23,48,24,32,59,40,30,31,21,27,26,39,43,33,32,26,29,32,50,25,15,29,34,25,32,36,36,23,17,26,26,39,33,40,35,27,30,36,23,40,27,20,9
prsc_argla,26,32,31,34,30,40,29,22,26,32,34,24,32,37,20,21,30,16,24,33,30,34,35,34,21,26,40,32,19,29,24,35,32,28,24,26,37,28,11,33,53,28,17,37,29,27,27,30,25,30,24,18,8
sicilian,39,47,35,27,33,46,38,28,43,35,45,42,34,40,30,31,30,21,35,57,35,48,28,41,42,31,31,38,38,33,33,34,39,44,36,46,31,27,29,42,29,46,32,44,46,32,49,65,39,48,42,31,7
soppressata,17,16,24,23,22,19,17,18,18,19,16,20,34,33,22,21,19,12,30,19,22,27,18,19,14,36,28,22,23,16,27,13,20,19,8,20,18,13,10,23,29,16,20,12,20,22,15,20,13,19,18,11,4
spicy_ital,54,38,34,29,43,49,30,36,39,43,41,30,65,40,54,39,39,49,49,59,55,46,41,39,51,45,57,54,55,62,30,37,43,50,46,50,41,30,20,36,31,56,33,48,52,41,56,35,42,35,47,17,13
spinach_supr,21,22,20,11,22,16,14,21,20,16,11,14,15,25,18,22,15,19,26,16,21,21,15,25,15,14,22,17,28,12,19,18,15,9,23,13,14,22,11,12,18,17,11,21,12,25,18,12,20,22,10,8,5
five_cheese,52,42,38,40,46,44,38,44,32,38,42,42,32,36,38,38,30,28,50,44,34,40,40,46,38,40,46,44,40,58,38,32,24,32,30,52,50,32,26,36,38,34,26,40,36,28,34,30,38,18,18,22,10
four_cheese,40,42,43,38,65,50,39,55,36,45,80,38,35,42,42,53,49,54,47,64,55,48,55,41,30,36,50,41,70,37,36,52,42,38,32,52,43,45,28,41,50,55,39,46,39,45,29,74,61,33,34,35,22
green_garden,12,12,18,13,13,10,17,22,25,19,18,14,20,17,15,18,16,21,20,14,23,20,15,21,20,16,25,18,19,15,27,12,9,18,12,20,20,20,12,15,11,14,13,16,13,9,9,14,6,18,11,11,2
ital_veggie,17,24,20,24,23,22,20,23,22,25,19,23,20,19,16,22,23,22,26,10,13,28,15,13,17,19,18,10,24,16,9,20,22,10,15,12,19,14,16,26,12,24,16,9,15,9,15,29,13,23,30,9,5
mediterraneo,20,9,15,11,16,15,17,16,24,14,17,11,30,19,26,23,9,10,27,18,22,18,12,18,21,13,31,25,22,23,16,26,19,21,15,19,21,16,13,17,10,12,16,17,25,22,22,28,20,27,22,15,8
mexicana,30,34,25,40,54,21,37,27,22,38,31,35,33,30,51,41,29,20,33,30,33,43,33,48,33,26,46,29,32,53,35,27,31,32,30,27,37,25,21,36,25,30,29,33,43,32,32,55,45,29,26,20,9
spin_pesto,21,13,21,20,18,21,15,19,15,21,20,20,20,5,14,12,14,20,36,23,16,12,25,26,18,23,24,10,12,6,19,18,22,25,16,27,23,14,21,8,10,13,12,22,13,18,21,28,12,18,20,11,7
spinach_fet,31,31,29,35,32,35,22,18,27,31,38,25,33,30,29,15,34,28,26,35,40,51,20,21,25,32,26,44,32,23,28,31,35,26,28,23,29,28,12,23,18,27,15,12,35,23,33,29,39,30,31,20,5
veggie_veg,33,30,33,25,45,38,28,35,37,30,40,20,29,33,26,40,29,24,26,23,29,21,29,36,26,37,35,26,35,37,30,36,25,30,26,25,26,20,23,16,18,34,20,21,15,24,37,31,35,37,34,26,13
